TransactionID,AccountID,Amount,Merchant,Category,Timestamp,Location
TXN000001,ACC0028,464.28,Amazon,Shopping,2023-07-06 13:04:00,"Houston, USA"
TXN000002,ACC0043,42.27,Shell,Gas,2023-09-17 09:42:00,"Vancouver, Canada"
TXN000003,ACC0027,63.35,Shell,Gas,2023-08-04 21:24:00,"Houston, USA"
TXN000004,ACC0044,430.65,Airbnb,Travel,2023-10-08 00:19:00,"Boston, USA"
TXN000005,ACC0019,1582.23,Best Buy,Electronics,2023-08-27 14:28:00,"Seattle, USA"
TXN000006,ACC0044,972.71,Best Buy,Electronics,2023-12-04 02:18:00,"Seattle, USA"
TXN000007,ACC0033,63.83,Uber,Transportation,2023-12-11 09:14:00,"Houston, USA"
TXN000008,ACC0013,1.75,Whole Foods,Groceries,2023-01-23 22:18:00,"São Paulo, Brazil"
TXN000009,ACC0002,492.29,Walmart,Shopping,2023-08-22 13:56:00,"Los Angeles, USA"
TXN000010,ACC0041,1450.77,Apple Store,Electronics,2023-05-05 04:41:00,"Boston, USA"
TXN000011,ACC0045,380.46,Amazon,Shopping,2023-08-06 07:11:00,"Houston, USA"
TXN000012,ACC0045,7.26,Netflix,Subscription,2023-08-22 04:51:00,"Los Angeles, USA"
TXN000013,ACC0030,98.85,Uber,Transportation,2023-11-10 23:57:00,"San Francisco, USA"
TXN000014,ACC0033,182.77,Trader Joe's,Groceries,2023-09-01 14:16:00,"Chicago, USA"
TXN000015,ACC0049,132.97,Costco,Groceries,2023-09-06 20:15:00,Singapore
TXN000016,ACC0018,109.32,Subway,Restaurants,2023-06-13 17:05:00,"Seattle, USA"
TXN000017,ACC0009,203.86,Target,Shopping,2023-02-02 13:26:00,"Houston, USA"
TXN000018,ACC0022,23.71,Spotify,Subscription,2023-07-19 18:44:00,"Boston, USA"
TXN000019,ACC0002,1554.63,American Airlines,Travel,2023-06-30 09:48:00,"New York, USA"
TXN000020,ACC0025,1911.52,American Airlines,Travel,2023-09-07 07:17:00,"Houston, USA"
TXN000021,ACC0028,63.22,Chipotle,Restaurants,2023-03-26 14:58:00,"Boston, USA"
TXN000022,ACC0009,102.58,Microsoft Store,Electronics,2023-02-12 20:27:00,"New York, USA"
TXN000023,ACC0009,445.29,American Airlines,Travel,2023-04-19 14:20:00,"Seattle, USA"
TXN000024,ACC0022,820.34,Expedia,Travel,2023-05-10 02:30:00,"Tokyo, Japan"
TXN000025,ACC0002,198.96,Airbnb,Travel,2023-11-29 02:49:00,"San Francisco, USA"
TXN000026,ACC0042,34.89,Walmart,Shopping,2023-11-15 04:15:00,"New York, USA"
TXN000027,ACC0009,24.24,Chipotle,Restaurants,2023-12-25 08:49:00,"Sydney, Australia"
TXN000028,ACC0024,619.03,Home Depot,Home Improvement,2023-03-25 09:06:00,"Houston, USA"
TXN000029,ACC0038,169.74,Amazon,Shopping,2023-07-23 22:12:00,"Boston, USA"
TXN000030,ACC0005,1669.61,Apple Store,Electronics,2023-12-17 19:51:00,"Miami, USA"
TXN000031,ACC0008,1587.01,Delta Airlines,Travel,2023-12-05 11:04:00,"Boston, USA"
TXN000032,ACC0033,5.57,Google Play,Subscription,2023-02-24 13:23:00,"San Francisco, USA"
TXN000033,ACC0041,1443.89,United Airlines,Travel,2023-11-12 17:49:00,"Miami, USA"
TXN000034,ACC0031,125.25,Subway,Restaurants,2023-05-06 02:17:00,"Seattle, USA"
TXN000035,ACC0029,100.97,Costco,Groceries,2023-06-22 00:31:00,"Boston, USA"
TXN000036,ACC0021,235.76,Home Depot,Home Improvement,2023-05-24 19:44:00,"London, UK"
TXN000037,ACC0018,28.25,Spotify,Subscription,2023-07-28 15:35:00,"Houston, USA"
TXN000038,ACC0049,103.08,Costco,Groceries,2023-01-09 02:18:00,"Sydney, Australia"
TXN000039,ACC0015,60.01,Whole Foods,Groceries,2023-08-31 17:33:00,"Seattle, USA"
TXN000040,ACC0023,116.82,Trader Joe's,Groceries,2023-05-19 09:16:00,"San Francisco, USA"
TXN000041,ACC0015,35.35,McDonald's,Restaurants,2023-04-09 06:47:00,"Chicago, USA"
TXN000042,ACC0031,303.0,CVS Pharmacy,Healthcare,2023-05-25 03:53:00,"Buenos Aires, Argentina"
TXN000043,ACC0013,193.22,Walgreens,Healthcare,2023-05-21 01:03:00,"Chicago, USA"
TXN000044,ACC0036,473.16,Walgreens,Healthcare,2023-02-22 00:36:00,"San Francisco, USA"
TXN000045,ACC0019,70.55,Chipotle,Restaurants,2023-05-10 15:07:00,"New York, USA"
TXN000046,ACC0005,23031.83,Starbucks,Restaurants,2023-03-19 04:51:00,"Los Angeles, USA"
TXN000047,ACC0037,497.08,Walgreens,Healthcare,2023-11-07 19:50:00,"Boston, USA"
TXN000048,ACC0040,111.68,Costco,Groceries,2023-06-02 18:27:00,"San Francisco, USA"
TXN000049,ACC0020,167.45,Apple Store,Electronics,2023-04-17 20:13:00,"Houston, USA"
TXN000050,ACC0017,19.92,Uber,Transportation,2023-03-22 00:26:00,"Los Angeles, USA"
TXN000051,ACC0029,49.64,Lyft,Transportation,2023-12-28 09:44:00,"Miami, USA"
TXN000052,ACC0030,41.15,Starbucks,Restaurants,2023-08-06 03:34:00,"Houston, USA"
TXN000053,ACC0015,45.88,Google Play,Subscription,2023-01-31 05:50:00,"Chicago, USA"
TXN000054,ACC0020,31776.98,United Airlines,Travel,2023-08-13 03:29:00,"Vancouver, Canada"
TXN000055,ACC0045,213.2,Walgreens,Healthcare,2023-08-13 02:38:00,"San Francisco, USA"
TXN000056,ACC0003,74.63,Trader Joe's,Groceries,2023-04-28 21:53:00,"Los Angeles, USA"
TXN000057,ACC0037,1999.17,Apple Store,Electronics,2023-10-23 01:48:00,"Miami, USA"
TXN000058,ACC0049,533.39,Home Depot,Home Improvement,2023-04-03 18:27:00,"Miami, USA"
TXN000059,ACC0041,1941.2,United Airlines,Travel,2023-06-20 10:42:00,"Boston, USA"
TXN000060,ACC0007,726.63,American Airlines,Travel,2023-09-11 09:42:00,"Buenos Aires, Argentina"
TXN000061,ACC0026,1145.18,United Airlines,Travel,2023-05-10 10:07:00,"Seattle, USA"
TXN000062,ACC0050,110.2,Whole Foods,Groceries,2023-08-25 13:03:00,"Mexico City, Mexico"
TXN000063,ACC0013,33.02,Netflix,Subscription,2023-01-27 06:17:00,"San Francisco, USA"
TXN000064,ACC0036,158.25,Target,Shopping,2023-03-04 00:40:00,"Dubai, UAE"
TXN000065,ACC0039,1448.59,Delta Airlines,Travel,2023-10-10 13:05:00,"New York, USA"
